Country,Exchange,Ticker,Full Company Name,Sector,Industry,ISIC_Section,ISIC_Description,Incorporated in,Market_Tier,Stock_Price,Volume,Market_Cap,MCap_USD_B,log_MCap,Exchange_Name,Country_RU,has_mcap,has_price,has_volume,has_isic,Revenue,Revenue_Growth,Net_Income,Free_Cash_Flow,Profit_Margin,FCF_Margin,Is_Profitable,PE_Ratio,Dividend_Yield,Cluster
Indonesia,IDX,TRGU,PT Cerestar Indonesia Tbk,Barang Konsumen Primer,Makanan Olahan,C,Manufacturing,INDONESIA,,183.0,63700.0,1454010531840.0,0.09087565823999999,28.0053467383699,IDX,Индонезия,1,1,1,True,3790000000000.0,-37.52,-32510000000.0,244950000000.0,-0.8577836411609499,6.463060686015831,0.0,,,0
Indonesia,IDX,TRIM,PT Trimegah Sekuritas Indonesia Tbk,Keuangan,Jasa Investasi,G,Wholesale and retail trade,INDONESIA,,488.0,26800.0,3469338476544.0,0.21683365478400002,28.874985050947636,IDX,Индонезия,1,1,1,True,1290000000000.0,33.2,480590000000.0,-1525920000000.0,37.255038759689924,-118.28837209302326,1.0,,,1
Indonesia,IDX,TRIN,PT Perintis Triniti Properti Tbk,Properti & Real Estat,Pengelola & Pengembang Real Estat,L,Real estate activities,INDONESIA,,770.0,34056300.0,3504622534656.0,0.21903890841600002,28.885103937222315,IDX,Индонезия,1,1,1,True,291880000000.0,161.11,-101410000000.0,-2810000000.0,-34.74373030012334,-0.9627244072906673,0.0,,,0
Indonesia,IDX,TRIS,Trisula International Tbk,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,I,Accommodation and food service activities,INDONESIA,,169.0,1220500.0,519852621824.0,0.032490788864,26.97681118878174,IDX,Индонезия,1,1,1,True,1590000000000.0,6.76,55120000000.0,75320000000.0,3.4666666666666663,4.737106918238994,1.0,,,0
Indonesia,IDX,TRJA,PT Transkon Jaya Tbk.,Transportasi & Logistik,Pengangkutan Darat Penumpang,H,Transportation and storage,INDONESIA,,124.0,173800.0,187264811008.0,0.011704050688000001,25.955789553721704,IDX,Индонезия,1,1,1,True,528720000000.0,-12.77,-3360000000.0,176410000000.0,-0.6354970494779846,33.36548645786049,0.0,,,0
Indonesia,IDX,TRON,PT Teknologi Karya Digital Nusa Tbk.,Teknologi,Perangkat Lunak,J,Information and communication,INDONESIA,,115.0,3570500.0,339250020352.0,0.021203126272,26.550003195652543,IDX,Индонезия,1,1,1,True,94630000000.0,6.35,-36590000000.0,-39260000000.0,-38.66638486737821,-41.48790024305188,0.0,,,0
Indonesia,IDX,TRST,Trias Sentosa Tbk,Barang Baku,Wadah & Kemasan,C,Manufacturing,INDONESIA,,466.0,10000.0,1308527951872.0,0.08178299699199999,27.89992392045536,IDX,Индонезия,1,1,1,True,3600000000000.0,4.31,38830000000.0,-24620000000.0,1.0786111111111112,-0.6838888888888889,1.0,,,0
Indonesia,IDX,TRUE,PT Triniti Dinamik Tbk,Properti & Real Estat,Pengelola & Pengembang Real Estat,L,Real estate activities,INDONESIA,,135.0,336774200.0,1022099587072.0,0.063881224192,27.65288004628175,IDX,Индонезия,1,1,1,True,52640000000.0,-48.97,-59460000000.0,-3120000000.0,-112.95592705167172,-5.927051671732523,0.0,,,2
Indonesia,IDX,TRUK,PT Guna Timur Raya Tbk.,Transportasi & Logistik,Logistik & Pengantaran,H,Transportation and storage,INDONESIA,,254.0,29900.0,88570929152.0,0.005535683071999999,25.207069527307887,IDX,Индонезия,1,1,1,True,42010000000.0,-18.13,-6430000000.0,-1940000000.0,-15.305879552487504,-4.61794810759343,0.0,,,0
Indonesia,IDX,TRUS,Trust Finance Indonesia Tbk,Keuangan,Pembiayaan Konsumen,K,Financial and insurance activities,INDONESIA,,392.0,2400.0,313599983616.0,0.019599998976,26.471384073177763,IDX,Индонезия,1,1,1,True,46720000000.0,-14.08,19760000000.0,121550000000.0,42.29452054794521,200.0,1.0,,,0
Indonesia,IDX,TSPC,Tempo Scan Pacific Tbk,Kesehatan,Farmasi,C,Manufacturing,INDONESIA,,2500.0,2689500.0,11274661396480.0,0.7046663372799999,30.053578969512017,IDX,Индонезия,1,1,1,True,13640000000000.0,1.0,1500000000000.0,1200000000000.0,10.997067448680351,8.797653958944283,1.0,,,0
Indonesia,IDX,TUGU,PT Asuransi Tugu Pratama Indonesia Tbk,Keuangan,Asuransi,K,Financial and insurance activities,INDONESIA,,1230.0,758000.0,4373358051328.0,0.273334878208,29.106552262740898,IDX,Индонезия,1,1,1,True,3410000000000.0,19.31,569350000000.0,97070000000.0,16.69648093841642,2.8466275659824047,1.0,,,0
Indonesia,IDX,TYRE,PT King Tire Indonesia Tbk.,Barang Konsumen Non-Primer,Komponen Otomotif,C,Manufacturing,INDONESIA,,116.0,272600.0,403747471360.0,0.02523421696,26.724055448578216,IDX,Индонезия,1,1,1,True,615710000000.0,8.6,22700000000.0,-35770000000.0,3.6868006041805392,-5.809553198746163,1.0,,,0
Indonesia,IDX,UANG,PT Pakuan Tbk,Properti & Real Estat,Pengelola & Pengembang Real Estat,L,Real estate activities,INDONESIA,,3400.0,188600.0,4114000117760.0,0.25712500736,29.045416935783525,IDX,Индонезия,1,1,1,True,140150000000.0,329.27,-33640000000.0,-62610000000.0,-24.002854084909025,-44.673564038530145,0.0,,,3
Indonesia,IDX,UCID,PT Uni-Charm Indonesia Tbk.,Barang Konsumen Primer,Produk Perawatan Tubuh,C,Manufacturing,INDONESIA,,410.0,3111000.0,1704194736128.0,0.106512171008,28.164113819571266,IDX,Индонезия,1,1,1,True,8900000000000.0,-7.79,20660000000.0,-229620000000.0,0.23213483146067418,-2.58,1.0,,,0
